Date,SKU,Style,Units_Sold,Price,Is_Holiday,Is_Promo
2022-05-01,SKU001,Shirt,11,100.0,0,0
2022-05-01,SKU002,Pants,8,120.0,0,0
2022-05-01,SKU003,Jacket,7,200.0,0,0
2022-05-01,SKU004,Dress,9,150.0,0,0
2022-05-01,SKU005,Skirt,4,130.0,0,0
2022-05-02,SKU001,Shirt,10,100.03,0,0
2022-05-02,SKU002,Pants,7,120.03,0,0
2022-05-02,SKU003,Jacket,6,200.05,0,0
2022-05-02,SKU004,Dress,7,150.04,0,0
2022-05-02,SKU005,Skirt,4,130.03,0,0
2022-05-03,SKU001,Shirt,11,100.05,0,0
2022-05-03,SKU002,Pants,8,120.06,0,0
2022-05-03,SKU003,Jacket,6,200.1,0,0
2022-05-03,SKU004,Dress,6,150.08,0,0
2022-05-03,SKU005,Skirt,4,130.07,0,0
2022-05-04,SKU001,Shirt,11,100.08,0,0
2022-05-04,SKU002,Pants,7,120.09,0,0
2022-05-04,SKU003,Jacket,5,200.16,0,0
2022-05-04,SKU004,Dress,5,150.12,0,0
2022-05-04,SKU005,Skirt,4,130.1,0,0
2022-05-05,SKU001,Shirt,7,100.1,0,0
2022-05-05,SKU002,Pants,8,120.13,0,0
2022-05-05,SKU003,Jacket,5,200.21,0,0
2022-05-05,SKU004,Dress,6,150.16,0,0
2022-05-05,SKU005,Skirt,5,130.14,0,0
2022-05-06,SKU001,Shirt,9,100.13,0,0
2022-05-06,SKU002,Pants,8,120.16,0,0
2022-05-06,SKU003,Jacket,5,200.26,0,0
2022-05-06,SKU004,Dress,7,150.2,0,0
2022-05-06,SKU005,Skirt,5,130.17,0,0
2022-05-07,SKU001,Shirt,12,100.16,0,0
2022-05-07,SKU002,Pants,9,120.19,0,0
2022-05-07,SKU003,Jacket,6,200.31,0,0
2022-05-07,SKU004,Dress,8,150.24,0,0
2022-05-07,SKU005,Skirt,5,130.2,0,0
2022-05-08,SKU001,Shirt,11,100.18,0,0
2022-05-08,SKU002,Pants,8,120.22,0,0
2022-05-08,SKU003,Jacket,8,200.37,0,0
2022-05-08,SKU004,Dress,7,150.27,0,0
2022-05-08,SKU005,Skirt,5,130.24,0,0
2022-05-09,SKU001,Shirt,10,100.21,0,0
2022-05-09,SKU002,Pants,6,120.25,0,0
2022-05-09,SKU003,Jacket,5,200.42,0,0
2022-05-09,SKU004,Dress,6,150.31,0,0
2022-05-09,SKU005,Skirt,4,130.27,0,0
2022-05-10,SKU001,Shirt,9,100.24,0,0
2022-05-10,SKU002,Pants,8,120.28,0,0
2022-05-10,SKU003,Jacket,6,200.47,0,0
2022-05-10,SKU004,Dress,8,150.35,0,0
2022-05-10,SKU005,Skirt,4,130.31,0,0
2022-05-11,SKU001,Shirt,9,100.26,0,0
2022-05-11,SKU002,Pants,8,120.31,0,0
2022-05-11,SKU003,Jacket,5,200.52,0,0
2022-05-11,SKU004,Dress,7,150.39,0,0
2022-05-11,SKU005,Skirt,4,130.34,0,0
2022-05-12,SKU001,Shirt,10,100.29,0,0
2022-05-12,SKU002,Pants,8,120.35,0,0
2022-05-12,SKU003,Jacket,5,200.58,0,0
2022-05-12,SKU004,Dress,6,150.43,0,0
2022-05-12,SKU005,Skirt,4,130.37,0,0
2022-05-13,SKU001,Shirt,11,100.31,0,0
2022-05-13,SKU002,Pants,7,120.38,0,0
2022-05-13,SKU003,Jacket,5,200.63,0,0
2022-05-13,SKU004,Dress,7,150.47,0,0
2022-05-13,SKU005,Skirt,4,130.41,0,0
2022-05-14,SKU001,Shirt,10,100.34,0,0
2022-05-14,SKU002,Pants,9,120.41,0,0
2022-05-14,SKU003,Jacket,6,200.68,0,0
2022-05-14,SKU004,Dress,9,150.51,0,0
2022-05-14,SKU005,Skirt,5,130.44,0,0
2022-05-15,SKU001,Shirt,12,100.37,0,0
2022-05-15,SKU002,Pants,9,120.44,0,0
2022-05-15,SKU003,Jacket,7,200.73,0,0
2022-05-15,SKU004,Dress,7,150.55,0,0
2022-05-15,SKU005,Skirt,5,130.48,0,0
2022-05-16,SKU001,Shirt,9,100.39,0,0
2022-05-16,SKU002,Pants,8,120.47,0,0
2022-05-16,SKU003,Jacket,6,200.78,0,0
2022-05-16,SKU004,Dress,7,150.59,0,0
2022-05-16,SKU005,Skirt,4,130.51,0,0
2022-05-17,SKU001,Shirt,11,100.42,0,0
2022-05-17,SKU002,Pants,8,120.5,0,0
2022-05-17,SKU003,Jacket,5,200.84,0,0
2022-05-17,SKU004,Dress,6,150.63,0,0
2022-05-17,SKU005,Skirt,4,130.54,0,0
2022-05-18,SKU001,Shirt,9,100.44,0,0
2022-05-18,SKU002,Pants,8,120.53,0,0
2022-05-18,SKU003,Jacket,5,200.89,0,0
2022-05-18,SKU004,Dress,7,150.67,0,0
2022-05-18,SKU005,Skirt,5,130.58,0,0
2022-05-19,SKU001,Shirt,10,100.47,0,0
2022-05-19,SKU002,Pants,7,120.57,0,0
2022-05-19,SKU003,Jacket,6,200.94,0,0
2022-05-19,SKU004,Dress,6,150.71,0,0
2022-05-19,SKU005,Skirt,4,130.61,0,0
2022-05-20,SKU001,Shirt,11,100.5,0,0
2022-05-20,SKU002,Pants,8,120.6,0,0
2022-05-20,SKU003,Jacket,5,200.99,0,0
2022-05-20,SKU004,Dress,5,150.75,0,0
2022-05-20,SKU005,Skirt,4,130.65,0,0
2022-05-21,SKU001,Shirt,12,100.52,0,0
2022-05-21,SKU002,Pants,10,120.63,0,0
2022-05-21,SKU003,Jacket,7,201.05,0,0
2022-05-21,SKU004,Dress,9,150.79,0,0
2022-05-21,SKU005,Skirt,5,130.68,0,0
2022-05-22,SKU001,Shirt,9,100.55,0,0
2022-05-22,SKU002,Pants,9,120.66,0,0
2022-05-22,SKU003,Jacket,6,201.1,0,0
2022-05-22,SKU004,Dress,10,150.82,0,0
2022-05-22,SKU005,Skirt,5,130.71,0,0
2022-05-23,SKU001,Shirt,10,100.58,0,0
2022-05-23,SKU002,Pants,8,120.69,0,0
2022-05-23,SKU003,Jacket,5,201.15,0,0
2022-05-23,SKU004,Dress,6,150.86,0,0
2022-05-23,SKU005,Skirt,4,130.75,0,0
2022-05-24,SKU001,Shirt,10,100.6,0,0
2022-05-24,SKU002,Pants,7,120.72,0,0
2022-05-24,SKU003,Jacket,5,201.2,0,0
2022-05-24,SKU004,Dress,6,150.9,0,0
2022-05-24,SKU005,Skirt,5,130.78,0,0
2022-05-25,SKU001,Shirt,10,100.63,0,0
2022-05-25,SKU002,Pants,7,120.75,0,0
2022-05-25,SKU003,Jacket,5,201.26,0,0
2022-05-25,SKU004,Dress,6,150.94,0,0
2022-05-25,SKU005,Skirt,5,130.82,0,0
2022-05-26,SKU001,Shirt,12,100.65,0,0
2022-05-26,SKU002,Pants,7,120.79,0,0
2022-05-26,SKU003,Jacket,5,201.31,0,0
2022-05-26,SKU004,Dress,6,150.98,0,0
2022-05-26,SKU005,Skirt,5,130.85,0,0
2022-05-27,SKU001,Shirt,9,100.68,0,0
2022-05-27,SKU002,Pants,9,120.82,0,0
2022-05-27,SKU003,Jacket,5,201.36,0,0
2022-05-27,SKU004,Dress,7,151.02,0,0
2022-05-27,SKU005,Skirt,5,130.89,0,0
2022-05-28,SKU001,Shirt,11,100.71,0,0
2022-05-28,SKU002,Pants,9,120.85,0,0
2022-05-28,SKU003,Jacket,7,201.42,0,0
2022-05-28,SKU004,Dress,7,151.06,0,0
2022-05-28,SKU005,Skirt,5,130.92,0,0
2022-05-29,SKU001,Shirt,12,100.73,0,0
2022-05-29,SKU002,Pants,9,120.88,0,0
2022-05-29,SKU003,Jacket,7,201.47,0,0
2022-05-29,SKU004,Dress,7,151.1,0,0
2022-05-29,SKU005,Skirt,5,130.95,0,0
2022-05-30,SKU001,Shirt,10,100.76,0,0
2022-05-30,SKU002,Pants,7,120.91,0,0
2022-05-30,SKU003,Jacket,6,201.52,0,0
2022-05-30,SKU004,Dress,6,151.14,0,0
2022-05-30,SKU005,Skirt,5,130.99,0,0
2022-05-31,SKU001,Shirt,11,100.79,0,0
2022-05-31,SKU002,Pants,8,120.94,0,0
2022-05-31,SKU003,Jacket,5,201.57,0,0
2022-05-31,SKU004,Dress,6,151.18,0,0
